x*, y*, z*
2.150604, 20.000000, 2.214655
0.232161, 20.000000, 2.164961
7.684375, 20.000000, 0.292205
6.022991, 20.000000, 0.452003
0.853566, 20.000000, 0.745185
0.668980, 20.000000, 1.139142
2.828046, 20.000000, 3.462855
4.500833, 20.000000, 0.382773
1.740484, 20.000000, 0.609043
5.060147, 20.000000, 1.078306
4.335497, 20.000000, 0.647177
2.445097, 20.000000, 1.892122
2.210583, 20.000000, 0.727389
4.709738, 20.000000, 1.175720
1.359978, 20.000000, 0.262893
1.159256, 20.000000, 0.846503
-1.996343, 20.000000, 1.528875
4.259007, 20.000000, 1.555767
2.142784, 20.000000, 1.173651
4.395308, 20.000000, 1.871250
4.829212, 20.000000, 0.732452
5.109242, 20.000000, 0.951796
1.021824, 20.000000, -0.045780
1.789376, 20.000000, 1.925974
2.460318, 20.000000, 2.253802
6.896294, 20.000000, 1.989550
1.340182, 20.000000, 0.725571
4.110381, 20.000000, 0.592741
2.991493, 20.000000, 1.265599
3.016704, 20.000000, 1.358381
3.632428, 20.000000, -0.396177
2.887510, 20.000000, 1.706098
4.180609, 20.000000, 2.644795
3.909618, 20.000000, 0.959137
-0.204677, 20.000000, 2.086092
2.341730, 20.000000, 2.275016
0.633485, 20.000000, 2.197215
4.120276, 20.000000, 1.303588
-0.340831, 20.000000, 1.533083
5.058637, 20.000000, 1.208279
4.451271, 20.000000, 2.276546
3.874137, 20.000000, 1.313411
1.074914, 20.000000, 1.577030
4.454735, 20.000000, 2.357102
6.754070, 20.000000, 0.511945
5.655153, 20.000000, 0.368490
4.368961, 20.000000, 1.628283
4.067427, 20.000000, 1.314433
5.195348, 20.000000, 2.052782
3.237911, 20.000000, 2.480403
3.276525, 20.000000, 0.169116
3.458749, 20.000000, 0.361127
3.894210, 20.000000, 2.683809
3.810059, 20.000000, 2.148594
5.080882, 20.000000, 2.431827
3.819535, 20.000000, 1.187580
0.889374, 20.000000, 1.340501
1.979300, 20.000000, -1.010050
3.925155, 20.000000, 0.729292
2.966371, 20.000000, -1.204845
6.538006, 20.000000, 0.264049
3.515031, 20.000000, 1.687304
4.938874, 20.000000, 0.576204
-1.236080, 20.000000, 3.577159
2.604110, 20.000000, 1.872615
-2.248274, 20.000000, 1.805807
2.249047, 20.000000, 2.493075
0.838139, 20.000000, 0.014270
2.597960, 20.000000, -0.811183
0.478363, 20.000000, 1.582931
2.754781, 20.000000, 2.371614
4.349537, 20.000000, 0.639750
3.903091, 20.000000, 2.108693
5.120824, 20.000000, 1.735218
2.235377, 20.000000, 0.262541
1.975170, 20.000000, 0.821798
3.559148, 20.000000, -0.482475
3.605934, 20.000000, 1.813323
4.405290, 20.000000, 0.213618
4.677440, 20.000000, 1.938710
3.032797, 20.000000, 2.628683
1.659977, 20.000000, 0.424312
2.544960, 20.000000, 1.261939
2.019049, 20.000000, 1.281586
4.829384, 20.000000, 3.286597
6.341009, 20.000000, 2.160313
7.420595, 20.000000, -0.180461
5.924532, 20.000000, 1.491882
5.186297, 20.000000, 2.042809
2.476501, 20.000000, 1.393331
3.033305, 20.000000, 2.549971
2.051942, 20.000000, 0.532826
4.297478, 20.000000, 1.189741
2.546529, 20.000000, 1.519439
7.817723, 20.000000, -0.110619
0.847549, 20.000000, 1.482997
6.394902, 20.000000, -1.271921
1.356735, 20.000000, 1.203694
3.587986, 20.000000, 1.511968
3.316414, 20.000000, -0.062634
3.315226, 20.000000, 2.091484
2.748559, 20.000000, 2.572993
1.318953, 20.000000, -0.947063
4.646655, 20.000000, 1.405239
3.186538, 20.000000, 1.950277
3.608796, 20.000000, 2.187340
1.608188, 20.000000, 0.870977
5.726791, 20.000000, 3.118095
2.671593, 20.000000, 0.263738
0.092571, 20.000000, 2.918359
2.616587, 20.000000, 0.460672
3.425873, 20.000000, 1.364069
4.215095, 20.000000, 3.776739
1.165982, 20.000000, 1.572938
1.392751, 20.000000, 1.777012
3.782142, 20.000000, 1.758527
6.687265, 20.000000, 0.130687
4.643169, 20.000000, 1.367696
4.245962, 20.000000, 1.967926
2.459608, 20.000000, 2.065971
2.282194, 20.000000, 1.926701
3.576083, 20.000000, 1.611527
1.977082, 20.000000, 2.682129
2.322958, 20.000000, 0.161521
3.923301, 20.000000, -0.036397
2.145020, 20.000000, 2.355375
5.176177, 20.000000, 0.879750
3.588910, 20.000000, -0.115189
1.066322, 20.000000, 1.993839
2.869320, 20.000000, 1.822951
3.409904, 20.000000, 2.087095
3.154179, 20.000000, 1.569659
0.367960, 20.000000, 0.129719
4.241458, 20.000000, 1.061587
2.208718, 20.000000, 1.469770
0.331404, 20.000000, 1.773433
1.547206, 20.000000, 2.063018
2.112788, 20.000000, 1.310777
4.321691, 20.000000, 2.067190
1.459186, 20.000000, 1.798548
2.287433, 20.000000, 3.062127
-0.547759, 20.000000, 0.715720
3.026156, 20.000000, 1.734077
-1.320563, 20.000000, 0.401480
3.064010, 20.000000, 3.233896
1.567756, 20.000000, 2.144101
3.714869, 20.000000, 1.435233
5.852145, 20.000000, 0.812758
2.095521, 20.000000, 2.883238
2.721207, 20.000000, 1.965534
1.672758, 20.000000, 1.810265
